station_id,latitude,longitude,num_chargers,charger_speed,average_vehicle_distance_km
312240,33.480475,-84.219536,1.0,200.0,3245.0503591632137
312153,43.893526,-91.078007,8.0,400.0,2598.6021493528006
312152,40.422255992413085,-79.92924754399678,1.0,200.0,3492.510690910413
312151,40.18276419444595,-80.26264238568058,1.0,300.0,3466.63911541101
312150,40.669836525106206,-80.31539444652128,1.0,300.0,3458.093678244075
312149,46.72694914788983,-122.97510213249836,1.0,200.0,1252.5173424186787
312147,47.138552999999405,-122.52556499999992,1.0,200.0,1289.1514338106867
312124,40.99071256830376,-78.16806550443036,4.0,400.0,3634.7062381435103
312123,32.41439528616175,-100.85949437456485,8.0,400.0,1787.0884160918374
312122,39.292280639492446,-102.87556392502016,4.0,400.0,1555.6178730565462
312121,34.187737428649484,-101.752178074462,8.0,400.0,1660.4593061403577
312068,35.801074720113874,-78.81448849833393,1.0,6.0,3664.252005819654
312063,42.31018897124292,-71.05138372613006,1.0,7.7,4206.051866583537
312037,35.36067009559915,-75.5047075847549,2.0,7.0,3965.671785208813
312036,35.360615796944344,-75.50473074274322,2.0,7.0,3965.671211450395
312035,44.04947592064926,-83.70161190936591,4.0,150.0,3181.7722270167446
311885,38.2212200491642,-122.12704070844325,1.0,325.0,413.25905178469833
311833,32.34579480133512,-88.72787600601788,1.0,350.0,2874.725830111775
311825,34.220319958458774,-118.47146754789276,14.0,9.0,307.82053648023987
311824,37.18362838599306,-122.53297103282912,14.0,9.0,399.8828886615682
311764,39.15855506282696,-122.14365477234156,4.0,10.0,480.4366507508427
311730,38.67617164016937,-121.74814402567168,1.0,120.0,430.0339867874444
311709,43.01966188077989,-83.32169477891497,2.0,125.0,3205.9478368820774
311613,41.41619830139183,-84.10499089014816,4.0,350.0,3139.1601307840783
311587,42.18464893920972,-83.74172601109308,2.0,60.0,3169.4576846787527
311586,42.5400152934009,-83.78877648936871,12.0,250.0,3166.4217270838576
311585,42.42733150000629,-82.90891833438627,6.0,350.0,3237.890059127347
311581,30.18393867398157,-81.62541156086436,8.0,350.0,3587.893139685328
311579,33.47922772277374,-111.98561491929566,1.0,350.0,779.7980043796981
311578,39.05586437918734,-104.85310571754088,1.0,350.0,1387.3947456556937
311577,35.4808394197364,-108.433538293779,1.0,350.0,1050.5605705701805
311576,38.41137461248874,-96.2366737725612,1.0,350.0,2110.4637984170486
311575,35.49790189661056,-80.56150457086042,4.0,350.0,3517.8186484122843
311574,37.18401357570761,-77.3180918831336,1.0,350.0,3764.0559826020344
311573,41.41679625863407,-84.10496337251186,1.0,350.0,3139.1620193664144
311569,31.925446860260507,-81.3331418951143,1.0,400.0,3551.3612494161093
311568,27.961213073149523,-82.7671794973801,4.0,150.0,3577.3460107874143
311567,28.066317970134264,-82.73950409041777,4.0,150.0,3575.1793908547365
311566,28.04260164512189,-82.67764269156174,8.0,150.0,3581.776677559073
311565,28.04077444575792,-82.50851136424468,4.0,150.0,3597.034314482539
311564,27.995425307968876,-82.48351328486353,6.0,150.0,3601.2815731734418
311563,27.99688201987439,-82.55060219034677,6.0,150.0,3595.1970064175207
311508,37.76891999999784,-122.4196599999998,12.0,320.0,405.23591184013793
311418,37.288538528018606,-121.78112113586168,1.0,350.0,365.5366221665904
311417,39.91532375933673,-86.11032892406269,6.0,350.0,2974.373214172436
311416,34.24029395134224,-81.45859702174242,4.0,350.0,3470.1031904022743
311415,45.23396638672571,-122.8104363663728,4.0,350.0,1092.7149748376523
311413,27.791037815307646,-82.34189562495864,1.0,150.0,3623.083478499957
311403,33.93041471138152,-81.07722241752805,4.0,350.0,3512.4738282086696
311402,35.57189742519469,-82.95587489466722,4.0,350.0,3305.055288134912
311401,29.49513556509029,-95.91121910369873,4.0,350.0,2338.411150057585
311400,30.559759429331464,-88.20561126664307,4.0,350.0,2982.6954933171637
311377,34.42513946425062,-119.70576370458453,6.0,350.0,325.6485536804399
311325,48.18762603076519,-122.19930614977596,1.0,200.0,1398.0556199812497
311312,46.64174330922404,-122.9504899920414,2.0,240.0,1243.0909571202262
311293,42.303934337288695,-74.27238198055977,1.0,7.2,3943.6913566180438
311292,42.44298734261224,-76.50905970426822,1.0,7.2,3760.112624177809
311291,41.95454817359669,-75.27938221780994,1.0,7.2,3864.623821640831
311290,42.411672921057885,-73.26333658293544,1.0,120.0,4024.846410422206
311289,42.62486305041975,-73.70265286385518,1.0,240.0,3987.014931496643
311288,40.45715368712365,-74.39459608300285,1.0,240.0,3955.7757836500678
311277,39.025733802725455,-94.24962996267745,1.0,400.0,2282.1660739817976
311276,32.79321951069673,-97.05808559989504,1.0,400.0,2114.701270129425
311255,38.03633326655236,-78.51417960980038,1.0,25.0,3644.4268199178473
311247,47.38668102427937,-122.18607816241465,1.0,150.0,1311.315391832045
311235,42.35764521282542,-88.06840312134125,1.0,150.0,2817.115560470977
311233,34.17519270988271,-82.02255955794413,1.0,150.0,3421.7454430843404
311232,33.07665945170558,-116.59711187722712,1.0,62.0,437.7923398806445
311231,41.08445878794839,-111.97922098814816,1.0,350.0,943.0759992284735
311230,41.02832207997864,-77.52166789687607,1.0,350.0,3688.1544922108687
311229,43.5392919274984,-123.28792976328268,1.0,350.0,929.8651126358501
311228,35.53098583638754,-119.18807039329766,1.0,350.0,307.2868229008098
311227,39.00293656591765,-93.73493709694452,1.0,350.0,2326.138546253987
311226,42.35992563926351,-88.00052452011288,1.0,150.0,2822.654224125064
309482,36.83921292277964,-121.39554278998855,1.0,350.0,349.0188073575596
309472,37.98977960021405,-121.69756073685744,1.0,180.0,386.34108885438087
309471,35.45786596731854,-79.15142571674193,1.0,150.0,3642.9050591866912
309470,34.69911412220576,-79.8821816984971,1.0,150.0,3597.6581544381675
309469,34.21638867863879,-80.24846147155853,1.0,150.0,3578.1648608220135
309468,42.18335682126252,-71.18777428626686,1.0,240.0,4196.62395830597
309467,42.20136278433358,-71.18890390926208,1.0,180.0,4196.292739193066
309379,34.13853417668945,-82.13121362784486,2.0,150.0,3413.070067077555
309378,34.902852224750134,-79.71125827333924,2.0,150.0,3607.473833160934
309377,33.968532006106074,-80.04545027635909,2.0,150.0,3603.0877947073454
309376,33.87412619887124,-79.7552998100505,2.0,150.0,3631.544549750824
